name,elapsed,L1_DCM,L2_DCM,TOT_CYC,TOT_INS
data.csv,35.094158371,1032740,247127,27386412291,70465361004
data.csv,35.742401152,1498364,467767,27880712352,70465358081
data.csv,36.034411133,1850165,608576,28106336912,70465358087
data.csv,34.945635067,1253157,211055,27297703722,70465356880
data.csv,37.721022113,4132528,869856,29189694486,70465360280
data.csv,35.232904249,1461361,276578,27537150369,70465356933
data.csv,35.318365673,1217102,369688,27549128849,70465357436
data.csv,36.784816573,2530718,662661,28690227226,70465358959
data.csv,37.657872514,3120441,1202014,28745099411,70465422328
data.csv,38.102668098,4116083,1533013,29162788654,70465408533
sorted_id.csv,44.290397690,9705379,3250173,33591835432,70464205006
sorted_id.csv,44.659181922,7726561,2642380,32514583750,70464233640
sorted_id.csv,46.305627708,11659951,3593896,34550470208,70464197778
sorted_id.csv,39.374809568,5410366,1401582,30162916453,70464180211
sorted_id.csv,36.594910530,1598944,618271,28219439965,70464197614
sorted_id.csv,35.979581444,1552926,384569,28041056919,70464162992
sorted_id.csv,38.137803086,3420014,856675,29632534282,70464164551
sorted_id.csv,36.393294309,1741309,507500,28400242029,70464163205
sorted_id.csv,35.719636274,1321399,278750,27850663008,70464162141
sorted_id.csv,35.974160916,1600488,417191,28020866095,70464168229
sorted_timestamp.csv,35.093876140,1552115,358251,27376187199,70464160577
sorted_timestamp.csv,37.087428359,3805553,799183,28824877952,70464160534
sorted_timestamp.csv,34.882715449,1280742,273376,27238146391,70464158720
sorted_timestamp.csv,37.269433407,3879204,784405,28995143563,70464161195
sorted_timestamp.csv,36.515499348,2478215,609969,28472576536,70464160112
sorted_timestamp.csv,36.360637329,2983622,643372,28310048901,70464159852
sorted_timestamp.csv,35.071204890,1726490,329534,27303849160,70464158597
sorted_timestamp.csv,35.045644089,1387725,331207,27357380810,70464158733
sorted_timestamp.csv,35.397564241,1777624,448621,27522626713,70464159450
sorted_timestamp.csv,35.161804585,1427765,306558,27444558755,70464158750
sorted_value.csv,37.543072876,4181469,905054,29231750002,70464142047
sorted_value.csv,35.049663357,1736868,457861,27301089033,70464139071
sorted_value.csv,34.523675087,1165834,227617,26922817288,70464138639
sorted_value.csv,37.880710198,3550289,1032770,29260419109,70464141899
sorted_value.csv,35.170971525,1677885,464625,27434400693,70464139428
sorted_value.csv,34.871236996,1524338,385292,27129942476,70464146650
sorted_value.csv,36.486504358,2298751,714125,28326015416,70464140752
sorted_value.csv,35.369334794,2120604,426131,27508915925,70464148369
sorted_value.csv,34.720998557,1154734,304545,27088971658,70464139017
sorted_value.csv,34.754886610,1175879,325814,27050495523,70464147949
sorted_valid.csv,37.158000362,3087542,800740,28891123683,70464160014
sorted_valid.csv,37.108383266,2990410,823331,28858796851,70464159647
sorted_valid.csv,35.605941084,1873057,521383,27774179725,70464158298
sorted_valid.csv,34.806274161,1073459,278007,27099536438,70464157757
sorted_valid.csv,34.661826249,889914,280307,27062696989,70464157660
sorted_valid.csv,34.791664719,1309003,285259,27125294447,70464157271
sorted_valid.csv,37.201383251,3029151,859524,28902610356,70464161128
sorted_valid.csv,35.243640166,1755936,348846,27505199867,70464157967
sorted_valid.csv,34.847404415,1033976,316066,27194387648,70464157648
sorted_valid.csv,34.705574038,1148003,276379,27102032395,70464157594
