name,elapsed,L1_DCM,L2_DCM,TOT_CYC,TOT_INS
data.csv,4.629757709,510475,87008,20531637817,70917609459
data.csv,4.628731072,789803,70636,20517474441,70917609333
data.csv,4.631501280,661811,61870,20529607206,70917609399
data.csv,4.632583410,436489,84624,20532023582,70917609337
data.csv,4.636826621,1190069,91888,20547130507,70917609335
data.csv,4.670298552,80405374,72674,20702389941,70917609345
data.csv,4.630648978,816774,67906,20522652765,70917609338
data.csv,4.635645503,1190551,69810,20542335601,70917609339
data.csv,4.627956255,865781,78550,20510770560,70917609175
data.csv,4.631230811,726302,77036,20524596550,70917609324
sorted_id.csv,4.446001582,937133,69188,19725776171,70916468247
sorted_id.csv,4.453291400,899878,55915,19750983039,70916468333
sorted_id.csv,4.448449535,1101248,78465,19722840656,70916468265
sorted_id.csv,4.452195651,872187,93438,19735752155,70916471068
sorted_id.csv,4.445688653,731270,61837,19711495927,70916468277
sorted_id.csv,4.447154493,382275,78398,19720672793,70916468262
sorted_id.csv,4.456324057,80904822,64323,19760627047,70916468265
sorted_id.csv,4.442952038,500710,75075,19704852777,70916468324
sorted_id.csv,4.450596048,559232,63250,19729760591,70916468245
sorted_id.csv,4.446167451,962286,50853,19706193680,70916468256
sorted_timestamp.csv,4.405560741,564911,59903,19542316770,70916465776
sorted_timestamp.csv,4.408013482,726324,58100,19544079843,70916465284
sorted_timestamp.csv,4.409796528,418478,85001,19553762069,70916465281
sorted_timestamp.csv,4.409411235,803808,80005,19550909252,70916465278
sorted_timestamp.csv,4.411205189,809912,70514,19550603538,70916465318
sorted_timestamp.csv,4.409991362,913586,61837,19548953263,70916465281
sorted_timestamp.csv,4.411082068,793856,74653,19550499827,70916465342
sorted_timestamp.csv,4.417740170,569298,70948,19591295395,70916465282
sorted_timestamp.csv,4.424103188,587551,61597,19610642810,70916465400
sorted_timestamp.csv,4.400259451,801815,73173,19496800859,70916474046
sorted_value.csv,4.488581506,698423,84396,19915921708,70916452895
sorted_value.csv,4.507571066,956663,75135,19990463965,70916453031
sorted_value.csv,4.497500499,788014,79908,19960118968,70916452993
sorted_value.csv,4.498760443,613143,73693,19971265964,70916452898
sorted_value.csv,4.496514888,1007339,75844,19942487964,70916452963
sorted_value.csv,4.492298998,832879,58643,19925784128,70916452965
sorted_value.csv,4.493363636,508767,95287,19931907460,70916453164
sorted_value.csv,4.490465849,636746,76054,19922805453,70916452954
sorted_value.csv,4.488081975,474737,56012,19907175850,70916452958
sorted_value.csv,4.487524581,642454,57676,19894767651,70916452951
sorted_valid.csv,4.523649558,517859,69768,20076966494,70916464638
sorted_valid.csv,4.530257957,1010111,47893,20082729611,70916464856
sorted_valid.csv,4.515767929,652330,63540,20031861555,70916464601
sorted_valid.csv,4.518600265,551182,66838,20042597150,70916464646
sorted_valid.csv,4.518654746,2739480,64370,20040127670,70916464666
sorted_valid.csv,4.529169163,809194,75390,20086649012,70916464612
sorted_valid.csv,4.519602243,1190027,54914,20042946079,70916464633
sorted_valid.csv,4.510367776,590220,57922,19997033683,70916464594
sorted_valid.csv,4.510932636,3984923,67369,19994800982,70916464594
sorted_valid.csv,4.507529829,765816,56479,19993449688,70916464540
